"last_name, first_name","player_id","year","pa","k_percent","bb_percent","on_base_percent","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Gilbert, Logan","669302","2024","803",27.4,4.6,".236",".225",".375",".255",".277",".264",".150",71.8,24.8,15,10.6,36.1,25.5,"7.5","34","89.6","12.6",33,7.2,39.3,"78.976067127","94.386132799",31.7,50.4
"Anderson, Tyler","542881","2024","765",18.6,9.5,".311",".249",".419",".308",".325",".327",".171",72.1,24.5,12.8,9.3,33,23.8,"7.5","12","87.2","17.6",34.1,7.9,33,"76.273537333","93.1219435",27.7,49.3
"Irvin, Jake","663623","2024","769",20.3,6.8,".299",".255",".440",".314",".323",".310",".185",71.8,24.5,13.7,10.8,33,26.1,"7.2","16","88.8","11.4",33,9.2,39.1,"77.537675273","94.341422273",22.3,48.5
"Sears, JP","676664","2024","758",18.1,6.5,".311",".247",".453",".324",".327",".308",".206",72.6,29.7,16.1,12.8,33.6,26.7,"7.4","12","89.3","18.1",32.7,10.2,40.2,"78.173332182","94.379787855",21.8,48.7
"Skenes, Paul","694973","2024","514",33.1,6.2,".257",".195",".303",".247",".249",".255",".108",70.9,20,9.3,6.7,27.5,19.9,"7.3","19","87.8","8.4",27.8,5.2,36.3,"76.618528618","93.629853102",28.7,49.8
"Berríos, José","621244","2024","786",19.5,6.9,".300",".268",".449",".308",".337",".331",".181",71.8,24.2,15.1,12.3,36.1,29.3,"7.3","26","89.6","13.4",36.3,7.8,41.8,"79.087839143","94.188449928",21.1,46.7
"Mikolas, Miles","571945","2024","720",16.9,3.5,".312",".280",".465",".339",".333",".310",".185",72,26.2,15.1,12.7,32.5,27.4,"7.3","11","88.8","13.6",38.1,8.1,42.3,"77.511449435","94.25374515",16.4,49.8
"Corbin, Patrick","571578","2024","764",18.2,7.1,".348",".298",".482",".357",".359",".350",".185",72.2,27.2,19.5,15.5,35.9,28.6,"7.5","25","90.8","10",37.3,8.3,46.7,"79.877843129","95.30570991",22.3,48.2
"Lynn, Lance","458681","2024","511",21.3,8.6,".316",".266",".463",".314",".343",".334",".197",71.8,24.8,12.3,9.5,30.3,23.4,"7.1","15","88.9","17",37,10.5,39.3,"77.576082114","94.259379457",24.1,48.4
"Webb, Logan","657277","2024","841",20.5,5.9,".302",".274",".415",".288",".320",".320",".142",71.9,26.1,17.7,14.2,36.5,29.4,"7.3","19","89.8","2.5",32.1,7,46.2,"77.927662825","95.233452829",20.7,46.2
"Pallante, Andre","669467","2024","509",18.5,9.4,".315",".235",".333",".293",".289",".312",".099",71.6,22.1,11.3,9.2,29.9,24.3,"7.1","17","87.4","1.1",24.4,3.3,38.1,"75.339766989","93.795724801",19.8,46.4
"Greene, Hunter","668881","2024","611",27.7,9.3,".283",".190",".311",".265",".274",".291",".121",71.5,20.4,7.6,5.6,25.5,18.7,"7.3","24","87.3","20.8",29,5.2,32.5,"76.321243094","93.167150497",29.7,50.6
"Lorenzen, Michael","547179","2024","535",18.1,11,".310",".245",".421",".303",".332",".337",".176",71.7,22.6,14.8,11.6,33.9,26.6,"7.3","13","88.5","15.1",32.2,8,39.4,"76.902993817","94.185249946",22.6,44.7
"Pivetta, Nick","601713","2024","595",28.9,6.1,".277",".225",".421",".306",".297",".273",".196",71.4,21.9,11.8,9.1,30.5,23.4,"7.3","20","89.4","19.4",38.9,10.1,38.9,"79.225758698","93.96201671",25.6,50.3
"Arrighetti, Spencer","681293","2024","632",27.1,10.3,".334",".231",".389",".332",".311",".318",".158",71.6,25.5,12.1,9.1,30.8,23.2,"7.4","21","88.9","16.4",38.3,7.7,39.8,"77.934348615","94.124621851",27.7,47.2
"Myers, Tobias","668964","2024","569",22.3,6.3,".295",".252",".420",".297",".316",".307",".168",71.9,23.3,14.7,11.7,32,25.4,"7.3","15","89.7","16.3",36.2,7.7,38.5,"79.233540867","94.330628189",21.1,49.6
"Montgomery, Jordan","656756","2024","532",15.6,8.3,".369",".290",".450",".370",".348",".352",".161",72.1,25.5,17.1,12.9,37.9,28.6,"7.6","19","88.6","12.2",36.6,6,41,"77.212722234","94.218289135",26.7,49.6
"Rogers, Trevor","669432","2024","562",17.3,10,".357",".277",".445",".350",".349",".355",".168",72.1,26.2,16.7,13.5,34.7,28.1,"7.4","12","90.7","10.4",33.3,8.4,44.4,"80.391399303","94.92394505",20.9,46.2
"Gallen, Zac","668678","2024","621",25.1,8.7,".308",".247",".389",".301",".310",".317",".141",71.8,25,14.1,10.6,35.1,26.5,"7.5","23","90","11.8",34.9,7.4,41,"79.81895601","94.40298237",26,44.2
"Suárez, Albert","544150","2024","565",19.1,7.6,".314",".248",".421",".320",".317",".310",".173",71.5,21.1,11.9,9,32.7,24.8,"7.3","10","88.8","17",38,7.1,38.4,"78.437722921","93.664169109",24.6,50.4
"Estes, Joey","683155","2024","543",16.9,5,".308",".252",".470",".333",".331",".303",".219",72,27,13.5,10.9,31.3,25.4,"7.3","13","89.5","25.4",37.2,9.7,39.6,"79.114875902","94.154264829",19.2,55.5
"Stone, Gavin","694813","2024","580",20,6.4,".297",".258",".405",".304",".310",".307",".148",71.7,26.5,14,10.6,34,25.8,"7.4","13","88.2","11.2",32.5,6.4,36.2,"77.107440095","93.702925548",24.6,50.5
"Montas, Frankie","593423","2024","655",22.6,10.1,".325",".250",".439",".325",".336",".332",".190",72.2,27.5,14,10.7,28.6,22,"7.4","15","89.3","13.5",36.2,9.2,43.1,"77.762357972","94.576313396",24.9,48.7
"Blanco, Ronel","669854","2024","676",24.6,10.1,".273",".230",".399",".276",".311",".310",".169",71.8,26.2,12.8,9.2,30.1,21.8,"7.5","17","88.7","16.4",30.1,9.3,35.5,"78.14814367","93.702377385",29,48.6
"Waldron, Matt","663362","2024","625",21.3,6.4,".315",".249",".415",".323",".316",".311",".166",71.5,22.8,14.6,11.8,33.8,27.5,"7.3","15","88.1","16.4",33.9,7,35,"77.177450505","93.585477592",20.7,45.3
"Assad, Javier","665871","2024","638",19.4,9.9,".333",".265",".447",".330",".344",".344",".182",72,27.3,14.7,12.3,35.5,29.8,"7.2","16","89.1","13.3",36,8.8,39.8,"78.304060092","94.272452936",17.9,42.5
"Peralta, Freddy","642547","2024","725",27.6,9.4,".307",".228",".386",".305",".308",".312",".158",71.2,21,11.9,8.4,28,19.8,"7.3","24","87.6","17.3",35.3,8.7,36.9,"75.95026724","93.640809751",31,46.9
"Morton, Charlie","450203","2024","701",23.8,9.3,".339",".245",".407",".335",".327",".334",".163",71.5,23.5,13.3,10.1,32.4,24.5,"7.5","21","88.7","9",33,9.3,38.4,"77.729736875","93.929105313",26,46.6
"King, Michael","650633","2024","726",27.7,8.7,".296",".228",".366",".284",".295",".302",".139",71.5,22.7,9.3,6.7,26.1,18.7,"7.5","25","85.7","13.8",35.2,6.2,30.3,"73.981359732","92.671656987",29.2,45.4
"Lively, Ben","594902","2024","632",18.7,7.8,".305",".244",".410",".315",".313",".308",".167",71.6,21.6,15.6,12.9,35.8,29.6,"7.2","13","90.2","14",30.7,6.5,41.5,"80.455663231","94.191914792",18.6,46.6
"Quantrill, Cal","615698","2024","656",16.8,10.5,".361",".277",".444",".358",".355",".365",".167",71.5,23.4,13.9,10.9,32.5,25.5,"7.3","9","89.1","11.1",37.1,7.3,41.2,"77.92321026","94.354738243",21.5,45.7
"Cease, Dylan","656302","2024","762",29.4,8.5,".269",".213",".368",".266",".286",".282",".155",71.4,23.1,12.4,8.5,32.4,22.3,"7.4","35","89","14.1",32.4,8.5,38.6,"78.282702241","94.084709267",32.3,48.2
"Ober, Bailey","641927","2024","709",26.9,6.1,".261",".212",".380",".282",".283",".267",".168",71.6,23.2,10.7,7.6,31.4,22.3,"7.5","22","87.5","20.4",34.8,8.3,34.3,"76.699154464","93.270078151",29,52.4
"Bibee, Tanner","676440","2024","710",26.3,6.2,".285",".242",".403",".299",".305",".297",".162",71.3,20.1,11.5,8.6,29.2,21.7,"7.2","23","88.4","17.7",37.4,7,36.9,"77.504108675","93.719329103",26.8,51
"Valdez, Framber","664285","2024","703",24,7.8,".287",".234",".345",".272",".288",".301",".111",72.2,27.5,16.2,12,39.2,29.1,"7.4","21","90.2","0.4",26,5.3,45,"80.000726364","94.620557662",27.2,44.9
"Gore, MacKenzie","669022","2024","731",24.8,8.9,".339",".257",".386",".324",".319",".335",".129",71.7,22.6,9.7,7.1,27.6,20.2,"7.2","23","88","13.5",36.2,6.8,38.1,"76.776975684","93.73951438",28.6,50.4
"Bello, Brayan","678394","2024","702",21.8,9.1,".330",".258",".405",".319",".328",".338",".147",71.9,23.5,14.7,11.1,32.7,24.6,"7.4","23","88.5","6.2",34.2,7.4,41.1,"76.384630975","94.524067665",25.9,46.3
"Heaney, Andrew","571760","2024","693",22.9,5.9,".307",".257",".444",".312",".329",".315",".188",72.1,25.7,14.2,10.6,32.3,24.3,"7.4","20","89.6","18.2",37.4,8.3,40.1,"78.990582236","94.388347616",26.2,50.3
"Manaea, Sean","640455","2024","738",24.9,8.5,".280",".229",".384",".275",".303",".304",".155",71.1,19.3,11.6,8.7,28.8,21.7,"7.1","23","88.6","16.3",37,7.5,37.8,"77.674456946","93.857812243",26.1,49
"Eovaldi, Nathan","543135","2024","696",23.9,6,".282",".248",".398",".291",".307",".302",".151",71.5,21.8,15.4,11.3,32.9,24.2,"7.3","13","89.3","8.8",33.5,7.7,42.6,"77.906442017","94.485768718",26.7,52.2
"Civale, Aaron","650644","2024","689",21.6,7.5,".314",".247",".402",".327",".312",".312",".155",71.6,22.7,14,11.1,33.4,26.5,"7.4","13","89.4","17.2",36.5,7.3,39.4,"79.152007238","94.002413711",21.9,45.2
"Kikuchi, Yusei","579328","2024","736",28,6,".291",".243",".409",".297",".303",".291",".166",71.9,26.5,14.9,10.8,31.9,23.2,"7.2","29","90.1","14.2",33.5,9.7,45,"79.146503958","94.844128643",29,48.4
"Miller, Bryce","682243","2024","704",24.3,6.4,".254",".233",".415",".260",".302",".285",".182",71.9,24.6,12.3,9.6,33.5,26.1,"7.2","21","90.3","16.3",32.8,9.7,41.2,"80.650222167","94.328141625",24.3,48.9
"Imanaga, Shota","684007","2024","694",25.1,4,".259",".240",".404",".279",".292",".273",".164",71.9,23.4,14.2,10.4,31.6,23.1,"7.5","17","88.6","17.8",36,8.6,39.3,"77.586230864","93.931877531",28.2,55.7
"Castillo, Luis","622491","2024","719",24.3,6.5,".293",".247",".414",".305",".310",".302",".167",71.3,19,13.4,10.1,32,24,"7.2","25","89.7","16.3",37,8.5,41.9,"78.938131564","94.546516728",25.9,50.6
